name,price,km_driven,fuel_type,transmission,location,url
2017 Mercedes-Benz GLA Class 200 d Style,₹16 Lakh,"60,000 kms",Diesel,Automatic,Ambikapur,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gla-class-200-d-style-cars-Ambikapur_a8338772-b80d-48ba-bc9c-ab35328e6f37.htm
2012 Maruti Suzuki Swift Dzire VDI,₹2 Lakh,"1,20,000 kms",Diesel,Manual,"Ajabnagar, Ambikapur",https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vdi-cars-Ambikapur_9af61871-d15c-4644-a956-530afee12318.htm
2013 Tata Indica TDI LS,₹1.30 Lakh,"1,00,000 kms",Diesel,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Tata-indica-tdi-ls-cars-Ambikapur_e43c5e53-1d46-4666-97e2-4e4b59e4cf76.htm
2016 Maruti Suzuki Swift VXI,₹3.50 Lakh,"1,00,000 kms",Petrol,Manual,"Banaras Road,, Ambikapur",https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Ambikapur_ccac713b-626a-4f08-9da3-798ee8388101.htm
2014 Maruti Suzuki Alto K10 2010-2014 VXI,₹2 Lakh,"50,000 kms",Petrol,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-2010-2014-vxi-cars-Ambikapur_8f810b77-3f8c-48a9-9271-a606a0b042e3.htm
2011 Hyundai i20 1.2 Asta,₹1.50 Lakh,"1,18,500 kms",Petrol,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Hyundai-i20-12-asta-cars-Ambikapur_d0905ff9-5905-474d-b76a-97012dc8720e.htm
2018 Chevrolet Tavera Base 10 Str BS IV,₹2 Lakh,"2,60,000 kms",Diesel,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Chevrolet-tavera-base-10-str-bs-iv-cars-Ambikapur_e1c12e5c-c07e-4ccf-bc7c-8f100d0f5067.htm
2007 Maruti Suzuki Swift Ldi BSII,₹3 Lakh,"2,50,000 kms",Diesel,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Maruti-swift-ldi-bsii-cars-Ambikapur_1313c53f-344c-4e3a-842d-5c4c357ed899.htm
2012 Tata Indigo LX,₹1.80 Lakh,"1,90,000 kms",Diesel,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Tata-indigo-lx-cars-Ambikapur_63373c63-fecb-421e-bdaf-fdcba926f7a2.htm
2016 Maruti Suzuki Swift VDI Optional,₹4.50 Lakh,"1,22,000 kms",Diesel,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Maruti-swift-vdi-optional-cars-Ambikapur_e57e9cce-7ca8-4452-822a-f760517e749f.htm
2009 Maruti Suzuki Alto 800 LXi,"₹70,000","1,82,000 kms",Petrol,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Ambikapur_dd661dd6-347c-43c4-b1e4-0ac3eacafe6d.htm
2009 Maruti Suzuki Alto 800 LXi,"₹70,000","1,82,000 kms",Petrol,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Ambikapur_9196d938-40e2-4735-ac1a-ec12a92daa7f.htm
2015 Maruti Suzuki Swift VXI,₹3 Lakh,"2,00,000 kms",Petrol,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Ambikapur_67dedad7-1759-4167-97b4-4b4ea110277b.htm
2019 Maruti Suzuki Vitara Brezza ZDi Plus Dual Tone,₹6 Lakh,"1,10,000 kms",Diesel,Manual,Ambikapur,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zdi-plus-dual-tone-cars-Ambikapur_d9ae81b3-1f93-41d1-ae17-b9a7c8307dbd.htm
